Clicks,Revenue_Generated
4946,15520.09
570,30866.17
3546,32585.62
2573,95740.12
818,81990.43
1259,65792.3
3882,54205.71
230,82083.18
4657,95260.16
3027,25569.45
4449,67630.55
3528,63178.82
2385,62705.47
2659,10906.87
1087,82691.34
868,22019.07
2872,81902.94
1582,38536.95
,50091.17
,56029.73
,46426.93
,23255.86
,68453.18
,99186.53
,54481.48
4867,8356.41
3700,93046.27
4039,
1808,
1946,
3224,
431,
2240,
2203,
3098,
2719,5333.62
2547,11138.3
1081,49134.7
1362,22019.92
1077,24046.81
3940,23264.81
3042,67001.35
4972,58350.61
3485,79350.86
509,69641.84
1630,88889.73
4263,26375.47
409,8688.28
1838,72477.25
4385,66455.8
4457,92430.72
2835,84952.12
534,27754.01
4980,28155.05
2103,14952.16
773,88710.22
3372,93803.92
4909,9800.38
2635,87725.67
1092,50999.43
3374,41807.56
1270,25180.95
4636,63876.35
2662,7208.47
2734,16089.53
3491,16433.15
4557,64342.81
4054,98709.9
4958,25221.16
4936,37248.89
2100,23273.84
943,78426.52
4567,8505.21
4106,91170.22
3615,10146.22
180,15998.54
3129,88925.82
4003,35090.34
1633,84334.85
4911,90929.37
1692,57680.38
668,29351.53
2360,95547.2
570,31151.61
803,87098.84
2907,51372.49
1245,60351.88
4034,98711.24
833,5676.62
3469,59347.53
4097,66489.51
2449,95210.21
2952,5528.63
683,83164.88
1671,88605.11
3051,95295.4
2850,81839.45
3838,60718.24
2410,18666.12
3165,18015.62
1891,60011.28
3935,64180.87
1817,90909.69
4523,74681.29
1262,26537.68
4380,64670.43
3263,77000.33
1590,11742.17
3128,12455.44
2249,95996.74
2725,14191.29
332,6700.87
59,14250.98
1407,9660.09
4763,79718.02
4834,69833.46
2904,47479.32
1854,67620.62
509,24573.1
2394,7451.9
25,98731.51
4958,19764.4
3110,14176.92
3852,
1633,
4364,
4892,
3891,
4195,
164,17929.16
1734,75254.67
2117,73153.86
1188,98204.56
4380,19280.32
2401,69665.64
4447,38546.75
4294,16066.15
1308,39628.31
3574,97788.85
2482,86758.22
143,7502.85
3557,31944.63
302,76202.39
3657,33378.9
3136,21338.77
4331,3641.06
3906,23419.38
2088,49738.68
3038,34735.24
4823,44931.85
,81493.11
,67713.87
,91884.03
,4078.83
,82619.43
,75380.98
,15327.08
3604,51809.46
4057,72100.91
2359,62603.21
4128,7572.5
4829,23721.07
2814,44677.34
403,90527.35
4698,12843.8
4098,29963.88
1945,14148.88
4103,14944.07
4899,68714.53
2277,72403.07
4346,4533.44
4173,32362.02
1902,96941.81
2831,47587.8
2904,20442.26
2117,79756.42
3711,68284.84
1201,99096.85
1029,41082.6
3208,15676.98
2499,32900.01
,
3451,38328.89
4957,49821.82
2458,47136.19
3184,50547.74
4764,9530.52
2352,96302.45
557,89540.89
860,99892.02
312,25617.94
4745,94465.85
189,11631.03
4636,46578.99
1807,10776.63
2614,
4618,6543.76
